class,file,eps,orig_score,adv_score,adv_label,delta_pct,flipped
contamination,019.png,0.05,0.5399,0.4064,NORMAL,-24.73,True
contamination,019.png,0.08,0.5399,0.4025,NORMAL,-25.45,True
contamination,019.png,0.1,0.5399,0.4047,NORMAL,-25.04,True
contamination,016.png,0.05,0.5435,0.4563,NORMAL,-16.04,True
contamination,016.png,0.08,0.5435,0.4598,NORMAL,-15.4,True
contamination,016.png,0.1,0.5435,0.4487,NORMAL,-17.44,True
contamination,020.png,0.05,0.5549,0.4553,NORMAL,-17.94,True
contamination,020.png,0.08,0.5549,0.4429,NORMAL,-20.18,True
contamination,020.png,0.1,0.5549,0.4393,NORMAL,-20.82,True
contamination,012.png,0.05,0.5572,0.4635,NORMAL,-16.82,True
contamination,012.png,0.08,0.5572,0.4543,NORMAL,-18.47,True
contamination,012.png,0.1,0.5572,0.4508,NORMAL,-19.1,True
broken_small,000.png,0.05,0.6009,0.5334,DEFECT,-11.23,False
broken_small,000.png,0.08,0.6009,0.525,DEFECT,-12.63,False
broken_small,000.png,0.1,0.6009,0.5269,DEFECT,-12.32,False
broken_small,014.png,0.05,0.6417,0.5873,DEFECT,-8.47,False
broken_small,014.png,0.08,0.6417,0.5822,DEFECT,-9.27,False
broken_small,014.png,0.1,0.6417,0.5841,DEFECT,-8.96,False
broken_small,005.png,0.05,0.6708,0.5867,DEFECT,-12.54,False
broken_small,005.png,0.08,0.6708,0.5759,DEFECT,-14.14,False
broken_small,005.png,0.1,0.6708,0.5773,DEFECT,-13.94,False
broken_large,011.png,0.05,0.6895,0.5747,DEFECT,-16.65,False
broken_large,011.png,0.08,0.6895,0.5682,DEFECT,-17.59,False
broken_large,011.png,0.1,0.6895,0.5669,DEFECT,-17.78,False
broken_large,005.png,0.05,0.7374,0.652,DEFECT,-11.58,False
broken_large,005.png,0.08,0.7374,0.6455,DEFECT,-12.46,False
broken_large,005.png,0.1,0.7374,0.6399,DEFECT,-13.21,False
